lat_bin,lon_bin,light_count,lat,lon
26,21,23,43.71250000000006,-79.5325000000001
18,17,31,43.67250000000004,-79.55250000000008
17,58,20,43.66750000000004,-79.34750000000027
36,71,27,43.76250000000009,-79.28250000000033
28,67,15,43.72250000000007,-79.30250000000031
29,32,13,43.72750000000007,-79.47750000000015
47,80,17,43.817500000000116,-79.23750000000037
40,41,16,43.7825000000001,-79.43250000000019
19,18,13,43.677500000000045,-79.54750000000008
11,14,21,43.637500000000024,-79.56750000000007
29,68,22,43.72750000000007,-79.29750000000031
21,64,26,43.68750000000005,-79.3175000000003
40,77,30,43.7825000000001,-79.25250000000035
41,42,26,43.7875000000001,-79.4275000000002
33,38,40,43.74750000000008,-79.44750000000018
34,3,35,43.75250000000008,-79.62250000000002
25,34,18,43.70750000000006,-79.46750000000016
39,81,24,43.777500000000096,-79.23250000000037
44,47,31,43.80250000000011,-79.40250000000022
22,28,18,43.69250000000005,-79.49750000000013
14,24,17,43.65250000000003,-79.51750000000011
32,78,34,43.74250000000008,-79.24750000000036
51,91,25,43.83750000000013,-79.18250000000042
24,74,27,43.70250000000006,-79.26750000000034
43,87,28,43.797500000000106,-79.2025000000004
35,83,27,43.757500000000086,-79.22250000000038
36,48,26,43.76250000000009,-79.39750000000022
15,25,15,43.657500000000034,-79.51250000000012
7,21,35,43.617500000000014,-79.5325000000001
18,30,15,43.67250000000004,-79.48750000000014
30,4,18,43.73250000000007,-79.61750000000002
36,84,30,43.76250000000009,-79.21750000000038
28,80,27,43.72250000000007,-79.23750000000037
29,45,25,43.72750000000007,-79.41250000000021
21,41,24,43.68750000000005,-79.43250000000019
40,54,23,43.7825000000001,-79.36750000000025
33,15,25,43.74750000000008,-79.56250000000007
10,31,20,43.63250000000002,-79.48250000000014
42,100,13,43.7925000000001,-79.13750000000046
34,16,21,43.75250000000008,-79.55750000000008
25,47,34,43.70750000000006,-79.40250000000022
39,94,15,43.777500000000096,-79.16750000000043
37,21,22,43.76750000000009,-79.5325000000001
32,55,26,43.74250000000008,-79.36250000000025
43,64,24,43.797500000000106,-79.3175000000003
3,28,13,43.597500000000004,-79.49750000000013
35,60,20,43.757500000000086,-79.33750000000028
14,37,20,43.65250000000003,-79.45250000000017
26,11,16,43.71250000000006,-79.58250000000005
17,48,96,43.66750000000004,-79.39750000000022
36,61,18,43.76250000000009,-79.33250000000028
29,22,27,43.72750000000007,-79.5275000000001
47,70,24,43.817500000000116,-79.28750000000032
21,18,23,43.68750000000005,-79.54750000000008
40,31,26,43.7825000000001,-79.48250000000014
50,81,20,43.832500000000124,-79.23250000000037
33,28,20,43.74750000000008,-79.49750000000013
25,24,20,43.70750000000006,-79.51750000000011
39,71,24,43.777500000000096,-79.28250000000033
31,67,22,43.737500000000075,-79.30250000000031
10,44,28,43.63250000000002,-79.4175000000002
22,18,16,43.69250000000005,-79.54750000000008
14,14,19,43.65250000000003,-79.56750000000007
13,55,74,43.64750000000003,-79.36250000000025
32,68,26,43.74250000000008,-79.29750000000031
51,81,24,43.83750000000013,-79.23250000000037
24,64,13,43.70250000000006,-79.3175000000003
43,77,31,43.797500000000106,-79.25250000000035
16,60,13,43.66250000000004,-79.33750000000028
36,38,32,43.76250000000009,-79.44750000000018
28,34,20,43.72250000000007,-79.46750000000016
6,15,22,43.61250000000001,-79.56250000000007
38,84,27,43.77250000000009,-79.21750000000038
17,61,22,43.66750000000004,-79.33250000000028
29,35,27,43.72750000000007,-79.46250000000016
21,31,23,43.68750000000005,-79.48250000000014
40,44,17,43.7825000000001,-79.4175000000002
27,74,20,43.717500000000065,-79.26750000000034
33,5,28,43.74750000000008,-79.61250000000003
39,48,26,43.777500000000096,-79.39750000000022
10,21,17,43.63250000000002,-79.5325000000001
42,90,13,43.7925000000001,-79.18750000000041
34,6,16,43.75250000000008,-79.60750000000003
20,71,17,43.68250000000005,-79.28250000000033
39,84,17,43.777500000000096,-79.21750000000038
13,32,33,43.64750000000003,-79.47750000000015
31,80,23,43.737500000000075,-79.23750000000037
32,45,28,43.74250000000008,-79.41250000000021
23,76,33,43.697500000000055,-79.25750000000035
24,41,21,43.70250000000006,-79.43250000000019
43,54,21,43.797500000000106,-79.36750000000025
16,37,17,43.66250000000004,-79.45250000000017
3,18,14,43.597500000000004,-79.54750000000008
35,50,30,43.757500000000086,-79.38750000000023
36,15,35,43.76250000000009,-79.56250000000007
34,91,39,43.75250000000008,-79.18250000000042
5,27,21,43.60750000000001,-79.50250000000013
37,96,36,43.76750000000009,-79.15750000000044
17,38,23,43.66750000000004,-79.44750000000018
36,51,43,43.76250000000009,-79.38250000000023
28,47,21,43.72250000000007,-79.40250000000022
29,12,33,43.72750000000007,-79.57750000000006
21,8,34,43.68750000000005,-79.59750000000004
6,28,19,43.61250000000001,-79.49750000000013
42,67,26,43.7925000000001,-79.30250000000031
33,18,20,43.74750000000008,-79.54750000000008
25,14,35,43.70750000000006,-79.56750000000007
20,48,30,43.68250000000005,-79.39750000000022
39,61,15,43.777500000000096,-79.33250000000028
12,44,29,43.64250000000003,-79.4175000000002
31,57,20,43.737500000000075,-79.35250000000026
32,22,35,43.74250000000008,-79.5275000000001
23,53,25,43.697500000000055,-79.37250000000024
22,8,20,43.69250000000005,-79.59750000000004
13,45,27,43.64750000000003,-79.41250000000021
32,58,31,43.74250000000008,-79.34750000000027
24,54,18,43.70250000000006,-79.36750000000025
16,50,86,43.66250000000004,-79.38750000000023
17,15,14,43.66750000000004,-79.56250000000007
35,63,32,43.757500000000086,-79.32250000000029
36,28,25,43.76250000000009,-79.49750000000013
28,24,28,43.72250000000007,-79.51750000000011
38,74,27,43.77250000000009,-79.26750000000034
49,83,34,43.82750000000012,-79.22250000000038
29,25,29,43.72750000000007,-79.51250000000012
42,44,19,43.7925000000001,-79.4175000000002
21,21,23,43.68750000000005,-79.5325000000001
19,60,15,43.677500000000045,-79.33750000000028
39,38,25,43.777500000000096,-79.44750000000018
42,80,13,43.7925000000001,-79.23750000000037
20,61,27,43.68250000000005,-79.33250000000028
12,57,18,43.64250000000003,-79.35250000000026
13,22,37,43.64750000000003,-79.5275000000001
31,70,36,43.737500000000075,-79.28750000000032
23,66,18,43.697500000000055,-79.3075000000003
24,31,22,43.70250000000006,-79.48250000000014
43,44,31,43.797500000000106,-79.4175000000002
16,27,20,43.66250000000004,-79.50250000000013
35,40,40,43.757500000000086,-79.43750000000018
34,81,33,43.75250000000008,-79.23250000000037
45,90,13,43.80750000000011,-79.18750000000041
5,17,32,43.60750000000001,-79.55250000000008
46,55,17,43.812500000000114,-79.36250000000025
37,86,36,43.76750000000009,-79.2075000000004
38,51,43,43.77250000000009,-79.38250000000023
17,28,27,43.66750000000004,-79.49750000000013
9,24,35,43.62750000000002,-79.51750000000011
28,37,24,43.72250000000007,-79.45250000000017
26,76,33,43.71250000000006,-79.25750000000035
27,41,26,43.717500000000065,-79.43250000000019
6,18,15,43.61250000000001,-79.54750000000008
18,72,22,43.67250000000004,-79.27750000000033
30,46,21,43.73250000000007,-79.40750000000021
42,57,23,43.7925000000001,-79.35250000000026
27,77,27,43.717500000000065,-79.25250000000035
20,38,24,43.68250000000005,-79.44750000000018
39,51,40,43.777500000000096,-79.38250000000023
30,82,15,43.73250000000007,-79.22750000000038
31,47,32,43.737500000000075,-79.40250000000022
32,12,25,43.74250000000008,-79.57750000000006
23,43,18,43.697500000000055,-79.4225000000002
24,8,21,43.70250000000006,-79.59750000000004
41,97,16,43.7875000000001,-79.15250000000044
34,58,30,43.75250000000008,-79.34750000000027
45,67,17,43.80750000000011,-79.30250000000031
24,44,32,43.70250000000006,-79.4175000000002
16,40,31,43.66250000000004,-79.43750000000018
28,14,23,43.72250000000007,-79.56750000000007
26,53,32,43.71250000000006,-79.37250000000024
46,68,22,43.812500000000114,-79.29750000000031
38,64,29,43.77250000000009,-79.3175000000003
49,73,32,43.82750000000012,-79.27250000000033
27,54,16,43.717500000000065,-79.36750000000025
19,50,45,43.677500000000045,-79.38750000000023
20,15,25,43.68250000000005,-79.56250000000007
11,46,14,43.637500000000024,-79.40750000000021
39,28,26,43.777500000000096,-79.49750000000013
30,59,24,43.73250000000007,-79.34250000000027
31,24,30,43.737500000000075,-79.51750000000011
23,20,19,43.697500000000055,-79.5375000000001
41,74,15,43.7875000000001,-79.26750000000034
20,51,34,43.68250000000005,-79.38250000000023
33,70,31,43.74750000000008,-79.28750000000032
